"MuiTypography-root href","MuiBox-root src","MuiTypography-root","MuiTypography-root 2","MuiStack-root","MuiStack-root 2","MuiStack-root 3","MuiBox-root"
"https://emploitic.com/entreprises/eurl-gescall/offres-d-emploi/autres/chargee-de-seo-geo-hf-strategie-technique-contenu-netlinking-5d8b3b57c4fbdf99c3b048a1","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:de252aba-cad2-4ab5-b081-d82b902b13e0:logo:6840e00be26f70a8d855feec","Chargé(e) de Marketing Digital – Référencement Web (H/F)","EURL GESCALL","Cheraga, Daïra Cheraga, Alger, Algérie","01 April","Confirmé / Expérimenté (3 À 5 Ans)","<p>GESCALL accompagne ses clients dans le développement de leur visibilité digitale et de leur performance en ligne. Nous intervenons principalement sur des projets e-commerce et sites vitrines avec une approche orientée résultats.</p><p>Dans le cadre de notre développement, nous recherchons un(e) <"
"https://emploitic.com/entreprises/eurl-gescall/offres-d-emploi/autres/chargee-de-marketing-digital-operationnel-confirmee-45db7be79aa6a8ddf5e70234","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:de252aba-cad2-4ab5-b081-d82b902b13e0:logo:6840e00be26f70a8d855feec","Chargé(e) de marketing digital opérationnel confirmé(e)","EURL GESCALL","Cheraga, Daïra Cheraga, Alger, Algérie","01 April","Confirmé / Expérimenté (3 À 5 Ans)","<p><strong>GESCALL </strong>est un Centre d’appels en pleine croissance. Nous accompagnons plusieurs marques dans des univers variés (pièces automobiles, ameublement/déco, bien-être, etc.) au sein d'un environnement jeune, ambitieux et orienté performance.</p><p>Dans le cadre de notre développement,"
"https://emploitic.com/offres-d-emploi/informatique-telecom-internet/developpeurse-web-shopify-ia-cdi-temps-plein-8c3c83ad71d3f3490f63fe48","https://emploitic.com/images/sectors/informatique.jpg","Développeur·se Web Shopify & IA — CDI Temps Plein","Entreprise anonyme","Télétravail","01 April","Confirmé / Expérimenté (6 À 10 Ans)","<h3>Description:</h3><p>Nous recherchons un·e WebMaster/Développeur·se Web Shopify &amp; IA confirmé·e pour rejoindre notre équipe dynamique à Sidi Bel Abbès, Algérie. Le·la candidat·e idéal·e possède entre 3 et 10 ans d'expérience dans le développement web, avec une solide maîtrise des technologies"
"https://emploitic.com/entreprises/slk-ascenseurs/offres-d-emploi/btp-construction-immobilier/commerciale-abba652aa9ec792fa907adbc","https://emploitic.com/images/logos/arn:eu-west-1:oss::1241d733d6473d48a4ee725c:logo:66298317b5d95b7345365df3","Commercial(e)","Slk Ascenseurs","Alger, Algérie","01 April","Débutant / Junior (1 À 2 Ans)","<h2><strong>MISSIONS PRINCIPALES</strong></h2><h3><strong>Prospection &amp; développement commercial</strong></h3><ul><li><p>Prospecter activement sur le terrain (porte-à-porte, visites de sites, appels sortants)</p></li><li><p>Identifier de nouvelles opportunités commerciales (immeubles résidentiel"
"https://emploitic.com/entreprises/sarl-ring-m-f/offres-d-emploi/services/assistante-commerciale-coordinateurtrice-projets-116bcdba4033fcd207dcb9cc","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:37f291ab-b6ea-4fc4-ad9e-77865d04b14f:logo:68fea163f761112229172268","Assistant(e) Commercial(e) & Coordinateur(trice) Projets","SARL RING MF","Tessala El Merdja, Daïra Birtouta, Alger, Algérie","01 April","Confirmé / Expérimenté (3 À 5 Ans)","<p></p><p>•	Gestion de la relation partenaires (mailings, suivi, mise à jour base de données)</p><p>	•	Communication professionnelle en anglais et français</p><p>	•	Suivi et pilotage du recouvrement interne</p><p>	•	Relance active de l’équipe commerciale pour garantir le suivi clients</p><p>	•	Coord"
"https://emploitic.com/entreprises/talenteo-2/offres-d-emploi/services/web-brand-designer-937812227c493c4cb39f077c","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:4f2e4bfd-25a6-488c-84dc-a600e44b1d16:logo:685815bbe26f70a8d85fae9c","Graphic & Web Designer","Talenteo","Draria, Daïra Draria, Alger, Algérie (Hybride)","01 April","Confirmé / Expérimenté (3 À 5 Ans)","<p><strong>Qui sommes- nous ?</strong></p><p>Talenteo est un logiciel RH &amp; Paie, nous aidons les entreprises à centraliser leurs processus RH, à automatiser la paie, à digitaliser les workflows et à libérer du temps pour les équipes.</p><p>Présents en Algérie 🇩🇿 et en Tunisie 🇹🇳, nous servon"
"https://emploitic.com/entreprises/cesi-spa/offres-d-emploi/services/charge-de-marketing-digital-05729c6ac14e802758a5ec6b","https://emploitic.com/images/logos/arn:eu-west-1:oss::d2b20764cffb5f60e3e9f30f:logo:662981a5b5d95b7345365d09","Chargé de Marketing digital","CESI SPA","Alger, Algérie","31 March","Confirmé / Expérimenté (3 À 5 Ans)","<p>CESI Algérie est un acteur leader dans le domaine de la formation et de l’accompagnement des entreprises, avec plus de 23 ans d’expérience. Fort de cette expérence l'ISSI ""Institut Supérieur des sciences et d'Informatique a été créé et propose un enseignement supérieur moderne axé sur l’innovatio"
"https://emploitic.com/entreprises/fruital-coca-cola/offres-d-emploi/industries/channel-activation-manager-612dae78bc329b78e1392424","https://emploitic.com/images/logos/arn:eu-west-1:oss::e026a593abd97f8e53daf547:logo:67adf1440ac90e0972807245","Channel Activation Manager","Equatorial Coca-Cola Bottling Company (ECCBC Algérie)","Alger, Algérie","31 March","Manager / Responsable Département (3 À 5 Ans)","<p><b><u>MISSION:</u></b></p><p>• Mettre en place et déployer les initiatives Marketing dans le cadre du plan Marketing annuel (De la préparation en collaboration avec Coca-Cola Company à l’exécution avec les agences) ;</p><p>• Mettre en place et déployer en collaboration avec l’équipe commerciale l"
"https://emploitic.com/entreprises/fruital-coca-cola/offres-d-emploi/industries/brand-activation-manager-1d499d3fd2ab635fd5db5755","https://emploitic.com/images/logos/arn:eu-west-1:oss::e026a593abd97f8e53daf547:logo:67adf1440ac90e0972807245","Brand activation Manager","Equatorial Coca-Cola Bottling Company (ECCBC Algérie)","Alger, Algérie","31 March","Responsable d'Équipe (6 À 10 Ans)","<p>Le « <strong>Brand activation Manager</strong> » est membre de l’équipe marketing, rattaché au Marketing Manager. <br>Il sera en charge de diriger le département « Marketing activation » avec comme rôle, de Piloter l’exécution des plans marketing et communication sur le portefeuille de marques di"
"https://emploitic.com/entreprises/intaj-mohtawayat/offres-d-emploi/informatique-telecom-internet/commerciale-3afc131d77dba8d8c505db1d","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:551e5f4c-63ff-41b3-8aaf-b8017dfe461b:logo:69a4e75ff761112229a94d08","Commercial(e)","Intaj Mohtawayat","Alger, Algérie","30 March","Confirmé / Expérimenté (3 À 5 Ans)","<h3>À propos de l'entreprise :</h3><p><strong>INTAJ</strong> est une entreprise spécialisée dans la création et le développement de solutions numériques avancées, centrée sur l’intelligence artificielle (IA) et l’innovation technologique. Elle conçoit des applications, plateformes digitales et outil"
